time,id,g,e,m,b
135,35,0.0,A,0,0
135,36,0.8712000000000001,a,0,0
135,37,0.0,a,0,0
135,38,0.0,A,0,1
135,39,0.0,A,0,1
135,40,0.0,a,0,1
135,41,0.0,A,0,0
135,42,0.0,A,0,0
135,43,0.0,A,0,0
135,44,0.9800000000000001,A,1,0
135,45,0.99,A,1,0
135,46,0.0,A,0,0
135,47,0.0,A,0,1
135,48,0.0,A,0,0
135,49,0.0,A,0,0
135,50,0.0,a,0,1
135,51,0.0,a,0,1
135,52,0.010000000000000002,a,0,0
135,53,0.1,A,0,1
135,54,0.0,A,0,1
135,55,0.0,A,0,1
135,56,0.0,A,0,1
135,57,0.0,a,0,1
135,58,0.010000000000000002,a,0,0
135,59,0.1,A,0,0
135,60,0.0,a,0,1
135,61,0.0,A,0,1
135,62,0.0,A,0,1
135,63,0.021000000000000005,a,0,1
135,64,0.0,a,0,1
135,65,0.0,a,0,1
135,66,0.0,A,0,0
135,67,0.0,A,0,0
135,68,0.0,A,0,1
135,69,0.0,a,0,1
135,70,0.011000000000000003,a,0,1
135,71,0.010000000000000002,a,0,1
135,72,0.0,A,0,1
135,73,0.21000000000000002,A,0,0
135,74,0.0,a,0,1
135,75,0.0,A,0,0
135,76,0.0,A,0,0
135,77,0.1,A,0,1
135,78,0.0,a,0,0
135,79,0.0,A,0,1
135,80,0.0,a,0,0
135,81,0.0,A,0,0
135,82,0.0,A,0,0
135,83,0.0,A,0,0
135,84,0.0,A,0,1
135,85,0.0,A,0,1
135,86,0.0,A,0,1
135,87,0.0,A,0,0
135,88,0.0,A,0,0
135,89,0.1,A,0,0
135,90,0.0,A,0,0
135,91,0.1,A,0,0
135,92,0.0,A,0,1
135,93,0.0,a,0,1
135,94,0.0,A,0,1
135,95,0.0,A,0,1
135,96,0.0,A,0,1
135,97,0.0,A,0,1
135,98,0.0,A,0,1
135,99,0.8000000000000002,a,1,0
135,100,0.0,A,0,0
136,1,0.031000000000000007,a,0,0
136,2,0.0,A,0,0
136,3,0.0,A,0,1
136,4,0.0,A,0,0
136,5,0.0,A,0,1
136,6,0.0,a,0,0
136,7,0.0,A,0,0
136,8,0.8565182000000005,a,1,0
136,9,0.0,A,0,0
136,10,0.7885999999999999,A,0,0
136,11,0.0,a,0,1
136,12,0.0,A,0,0
136,13,0.010000000000000002,a,0,0
136,14,0.0,a,0,1
136,15,0.3499306800000006,A,0,0
136,16,0.0,A,0,0
136,17,0.021000000000000005,a,0,1
136,18,0.0,A,0,1
136,19,0.0,A,0,1
136,20,0.0,A,0,0
136,21,0.0,A,0,0
136,22,0.0,A,0,1
136,23,0.0,A,0,1
136,24,0.010000000000000002,a,0,0
136,25,0.2,A,0,1
136,26,0.031000000000000007,a,0,0
136,27,0.0,A,0,1
136,28,0.01100000000000001,A,0,0
136,29,0.0,A,0,0
136,30,0.0,A,0,1
136,31,0.0,A,0,1
136,32,0.0,A,0,0
136,33,0.0,A,0,0
136,34,0.0,a,0,1
136,35,0.0,A,0,0
